"id","gender","age","degree","field","sd_1","sd_2","sd_3","sd_4","sd_5","sd_6","ai_experience","uses_gemini","uses_copilot","uses_deepseek","uses_claude","freq","info_literacy_where","info_literacy_how","info_use_1","info_use_2","info_use_3","info_use_4","info_use_5","inter_style","crit_visible_chat","self_assess_1","self_assess_2","self_assess_3","n_chats_valid","obs_info_n","obs_schreiben_n","obs_praktisch_n","obs_technisch_n","obs_lernen_n","obs_sent_freundlich_n","obs_sent_neutral_n","obs_sent_unfreundlich_n","obs_kritisch_ja_n","obs_kritisch_nein_n","BE_info","BE_schreiben","BE_praktisch","BE_technisch","BE_lernen","Modus_Sentiment","Modus_Sentiment_Label","Modus_Kritik","Modus_Kritik_Label","SA_info","SA_schreiben","SA_praktisch","SA_technisch","SA_lernen","D_info","D_schreiben","D_praktisch","D_technisch","D_lernen","SA_sent_code","S_Diskrepanz","S_Diskrepanz_Label","SA_krit_code","K_Diskrepanz","K_Diskrepanz_Label","sd_4_rec","sd_5_rec","sd_6_rec","social_desir_sum","social_desir_mean"
341,1,24,2,3,4,2,4,4,2,2,5,0,0,0,1,4,5,4,2,2,1,5,0,3,5,4,5,3,5,2,0,0,3,0,0,5,0,0,5,0.4,0,0,0.6,0,0,"neutral",0,"Nein",0.2,0.2,0.1,0.5,0,-0.2,0.2,0.1,-0.1,0,0,0,"korrekt",1,-1,"falsches positiv",2,4,4,20,3.33333333333333
350,1,23,1,8,4,5,4,2,1,1,4,1,0,0,1,4,5,4,6,0,1,3,0,2,2,2,5,3,5,1,0,0,3,1,0,5,0,2,3,0.2,0,0,0.6,0.2,0,"neutral",0,"Nein",0.6,0,0.1,0.3,0,0.4,0,0.1,-0.3,-0.2,-1,-1,"unfreundlicher",0,0,"korrekt",4,5,5,27,4.5
360,1,21,1,4,5,4,4,2,2,4,3,1,0,0,1,4,2,3,4,4,2,0,0,2,5,4,5,2,5,4,0,0,1,0,0,4,1,1,4,0.8,0,0,0.2,0,0,"neutral",0,"Nein",0.4,0.4,0.2,0,0,-0.4,0.4,0.2,-0.2,0,-1,-1,"unfreundlicher",1,-1,"falsches positiv",4,4,2,23,3.83333333333333
361,1,19,3,10,4,4,4,3,3,2,4,0,0,0,0,5,4,4,3,3,0,0,4,2,2,5,2,4,5,2,1,1,1,0,1,2,2,0,5,0.4,0.2,0.2,0.2,0,0,"neutral",0,"Nein",0.3,0.3,0,0,0.4,-0.1,0.1,-0.2,-0.2,0.4,-1,-1,"unfreundlicher",0,0,"korrekt",3,3,4,22,3.66666666666667
362,2,25,2,8,5,3,2,4,1,1,4,1,0,0,1,6,5,5,0,1,1,8,0,3,4,5,2,3,5,0,0,1,4,0,4,1,0,3,2,0,0,0.2,0.8,0,-1,"freundlich",1,"Ja",0,0.1,0.1,0.8,0,0,0.1,-0.1,0,0,0,1,"freundlicher",1,0,"korrekt",2,5,5,22,3.66666666666667
363,2,23,1,3,4,4,5,2,4,1,3,0,0,1,0,4,4,3,2,4,1,3,0,4,1,5,5,1,5,0,3,0,2,0,2,2,1,1,4,0,0.6,0,0.4,0,0,"neutral",0,"Nein",0.2,0.4,0.1,0.3,0,0.2,-0.2,0.1,-0.1,0,1,1,"freundlicher",0,0,"korrekt",4,2,5,24,4
364,2,25,2,3,5,2,3,4,4,1,4,0,0,0,0,6,5,5,0,4,1,5,0,3,1,5,1,1,5,0,1,3,1,0,2,3,0,0,5,0,0.2,0.6,0.2,0,0,"neutral",0,"Nein",0,0.4,0.1,0.5,0,0,0.2,-0.5,0.3,0,0,0,"korrekt",0,0,"korrekt",2,2,5,19,3.16666666666667
365,1,24,2,3,4,4,4,2,3,2,5,0,0,0,0,5,5,5,1,2,3,3,1,4,1,2,3,2,5,0,0,0,4,1,0,5,0,1,4,0,0,0,0.8,0.2,0,"neutral",0,"Nein",0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.3,-0.5,-0.1,1,1,"freundlicher",0,0,"korrekt",4,3,4,23,3.83333333333333
366,2,26,2,3,3,4,3,2,4,4,3,0,0,0,0,4,3,3,1,2,2,3,2,2,2,2,4,2,5,0,1,1,2,1,1,4,0,1,4,0,0.2,0.2,0.4,0.2,0,"neutral",0,"Nein",0.1,0.2,0.2,0.3,0.2,0.1,0,0,-0.1,0,-1,-1,"unfreundlicher",0,0,"korrekt",4,2,2,18,3
367,2,22,2,3,4,5,4,2,2,1,2,0,0,0,0,3,3,4,2,2,3,3,0,4,5,5,4,2,5,0,1,0,4,0,0,5,0,1,4,0,0.2,0,0.8,0,0,"neutral",0,"Nein",0.2,0.2,0.3,0.3,0,0.2,0,0.3,-0.5,0,1,1,"freundlicher",1,-1,"falsches positiv",4,4,5,26,4.33333333333333
