CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CH01,CH01_01,CH01_02,CH01_04,CH01_05,CH01_06,CH02,CH06,CH07,CH08,CH09,CH03,CH03x01,CH03x02,CH03x03,CH10,CH10x01,CH10x02,CH10x03,CH11,CH11x01,CH11x02,CH11x03,CH12,CH12x01,CH12x02,CH12x03,CH13,CH13x01,CH13x02,CH13x03,CH04,CH05,CH05_01,CH05_02,CH05_03,CH05_04,CH05_05,CH05_06,CH05_06a,CH19,CH21_01,CO03,CO03_01,CO03_02,CO03_03,CO03_04,CO04_PRV,CO04_OS,CO04_BNM,CO04_BVS,CO04_FmF,DE01,DE02,DE05,DE05_05,DE06,DE06_11,points_given,info_use_info,info_use_text,info_use_structure,info_use_tech,info_use_study,IP01,KR01,NU01,NU02,NU03,NU04_01,NU04_02,SC04,SC05,SC06,SC06_01,SC06_02,SC06_03,SC06_04,SC06_05,SC06_06,SC06_07,SC06_07a,sd_argument,sd_stressed,sd_listening,sd_advantage,sd_litter,sd_help,SE01_01,SE01_02,SE01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,n_chats_valid,obs_info_n,obs_schreiben_n,obs_praktisch_n,obs_technisch_n,obs_lernen_n,obs_sent_freundlich_n,obs_sent_neutral_n,obs_sent_unfreundlich_n,obs_kritisch_ja_n,obs_kritisch_nein_n,final_sample
259,NA,NA,base,interview,2026-07-09T14:56:24Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,10,3,NA,10,NA,10,6,2,-9,-9,2,3,4,3,NA,NA,4,4,2,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,4,4,2,1,1,5,2,5,NA,53,123,4,14,16,8,12,14,33,65,14,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,33,4,5,4,13,39,866,NA,2026-07-09T15:13:03Z,complete,TRUE,FALSE,30,30,5,3,2,0,0,0,1,4,0,0,5,1
260,NA,NA,base,interview,2026-07-09T14:59:38Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,1,2,1,5,1,3,2,4,NA,NA,4,4,2,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,7,4,16,16,5,8,4,9,29,24,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,NA,2026-07-09T15:18:01Z,NA,FALSE,FALSE,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
262,NA,NA,base,interview,2026-07-09T15:19:08Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,2,11,1,NA,3,NA,10,3,4,-9,-9,3,1,4,4,NA,NA,4,4,2,4,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Notebook LM,3,4,4,2,1,2,5,5,3,NA,31,13,3,7,29,15,9,16,10,52,15,9,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,23,20,4,3,3,7,25,284,NA,2026-07-09T15:24:13Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
263,NA,NA,base,interview,2026-07-09T15:38:18Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-9,-9,-9,-9,-9,2,Code Optimierung R.html,CH03.000263.html,2026-07-09T15:44:05Z,2,Data analysis plan.html,CH10.000263.html,2026-07-09T15:44:05Z,2,Final Project Guide.html,CH11.000263.html,2026-07-09T15:44:05Z,2,Längsschnittdatenanalyse Übersicht.html,CH12.000263.html,2026-07-09T15:44:05Z,2,Skalierungsproblem bei Farbkarte.html,CH13.000263.html,2026-07-09T15:44:05Z,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,im Survey davor war der Text als JSON zu lang und wurde gelöscht. Ich fülle jetzt erneut aus.,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,2,14,2,NA,3,NA,10,1,2,1,5,1,3,2,4,NA,NA,4,4,2,4,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,1,2,3,5,5,5,5,3,4,NA,3,7,3,6,6,6,6,3,5,16,7,22,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,48,382,2,13,3,4,23,451,NA,2026-07-09T15:52:00Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
264,NA,NA,base,interview,2026-07-09T18:17:47Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-9,-9,-9,-9,2,Essay Final Corrections.html,CH03.000264.html,2026-07-09T18:42:00Z,2,Essay Improvement Plan.html,CH10.000264.html,2026-07-09T18:42:00Z,2,Essay Structure on Xenophon.html,CH11.000264.html,2026-07-09T18:42:00Z,2,Ethical Judgement on Stealing.html,CH12.000264.html,2026-07-09T18:42:00Z,NA,NA,NA,NA,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,10,1,NA,1,NA,10,2,4,4,-9,-9,2,4,4,NA,NA,5,5,2,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,3,4,2,1,2,4,3,4,NA,53,23,4,12,9,11,76,33,19,81,97,495,NA,NA,NA,540,NA,NA,NA,NA,NA,NA,28,42,4,3,6,16,47,1432,NA,2026-07-09T18:44:26Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
265,NA,NA,base,interview,2026-07-09T18:24:44Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,2026-07-09T18:26:04Z,NA,FALSE,FALSE,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
266,NA,NA,base,interview,2026-07-09T20:14:32Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,3,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Speicher-Optionen innerhalb des Browsers konnte keine gültige DAtei erzeugen,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,15,5,0,1,1,10,2,NA,4,NA,10,5,-9,2,-9,3,3,2,5,NA,NA,4,4,2,4,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,4,4,4,2,2,1,4,5,3,NA,3,24,4,23,7,10,12,8,11,28,57,85763,NA,3372,NA,NA,NA,NA,NA,NA,NA,NA,71,20,6,7,5,18,34,691,NA,2026-07-10T21:05:55Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
271,NA,NA,base,interview,2026-07-09T22:45:42Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,1,-2,-2,NA,5,2,5,1,NA,5,NA,10,5,-9,-9,2,3,3,1,5,NA,NA,4,4,2,6,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,5,5,2,1,1,NA,NA,NA,NA,12,24,3,6,8,9,15,13,12,72,18,13,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,2,18,32,279,NA,2026-07-09T22:50:21Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
272,NA,NA,base,interview,2026-07-09T23:49:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,43,3,19,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,2026-07-09T23:51:32Z,screenout,TRUE,FALSE,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
276,NA,NA,base,interview,2026-07-10T12:04:38Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,3,3,0,2,2,2,5,4,NA,NA,5,4,2,4,5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,"Perplexity, DeepL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,43,4,11,34,12,20,16,13,79,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,2026-07-10T12:09:07Z,NA,FALSE,FALSE,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
278,NA,NA,base,interview,2026-07-10T13:02:09Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Öfters wollte Chattie keinen Chatverlauf geben weil ""er den gesamten chat verlauf nicht zuverlässig und vollständig rekonstruieren konnte""",NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,1,7,1,NA,5,NA,10,4,-9,-9,3,3,3,4,4,NA,NA,5,4,2,4,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,3,4,4,5,2,4,5,5,NA,9,51,3,9,7,9,15,16,47,5584,35,981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,22,2,6,3,15,38,1249,NA,2026-07-10T14:58:10Z,complete,TRUE,FALSE,30,30,5,3,0,0,0,2,1,2,2,1,4,1
286,NA,NA,base,interview,2026-07-10T15:20:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,1,-2,-2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,NA,NA,5,4,2,5,3,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,8,2,5,3,9,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,2026-07-10T15:21:30Z,NA,FALSE,FALSE,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
289,NA,NA,base,interview,2026-07-13T13:07:43Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,NA,NA,NA,NA,NA,NA,10,1,1,1,7,-9,4,2,4,NA,NA,4,4,2,4,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,19,5,6,6,4,8,5,14,33,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,2026-07-13T13:10:03Z,NA,FALSE,FALSE,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
295,NA,NA,base,interview,2026-07-15T14:44:03Z,0,FALSE,FALSE,FALSE,FALSE,FALSE,-9,-9,-9,-9,-9,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,40,10,0,5,2,8,1,NA,3,NA,10,2,1,2,4,1,4,1,4,NA,NA,5,4,2,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,5,4,1,1,1,NA,NA,NA,NA,16,20,3,9,5,7,13,13,19,137,34,30,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,8,52,474,NA,2026-07-15T14:51:58Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
296,NA,NA,base,interview,2026-07-15T18:03:41Z,5,TRUE,TRUE,TRUE,TRUE,TRUE,-9,-9,-9,-9,-9,2,Applied Econometrics.html,CH03.000296.html,2026-07-15T18:15:19Z,2,Fuzzy RD and IV Assumptions.html,CH10.000296.html,2026-07-15T18:15:19Z,2,FiWi 2 Modul Chat.html,CH11.000296.html,2026-07-15T18:15:19Z,2,Wirtschaftsinformatik Modul Chat.html,CH12.000296.html,2026-07-15T18:15:19Z,2,Investition und Finanzierung Hilfe.html,CH13.000296.html,2026-07-15T18:15:19Z,NA,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,TRUE,TRUE,TRUE,TRUE,-1,-2,-2,NA,1,1,6,1,NA,4,NA,10,3,2,2,1,2,2,2,4,NA,NA,5,4,2,5,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,4,5,1,1,1,5,4,5,NA,2,23,5,13,11,15,13,12,22,86,37,156,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,13,19,5,5,4,9,34,787,NA,2026-07-15T18:16:48Z,complete,TRUE,FALSE,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
